Module,Time,Vat,Cyt
6,2019-12-30 19:54:07.074237,0.655,4.0
6,2019-12-30 19:54:09.750496,0.615,2.0
6,2019-12-30 19:54:12.054620,0.577,2.0
6,2019-12-30 19:54:14.018547,0.835,1.0
6,2019-12-30 19:54:15.457987,0.377,1.0
6,2019-12-30 19:54:17.163034,0.437,1.0
6,2019-12-30 19:54:18.693193,0.536,1.0
6,2019-12-30 19:54:20.060077,0.378,1.0
6,2019-12-30 19:54:21.401312,0.357,1.0
6,2019-12-30 19:54:22.672951,0.359,1.0
6,2019-12-30 19:54:23.865276,0.396,1.0
6,2019-12-30 19:54:25.118307,0.398,1.0
6,2019-12-30 19:54:27.500368,0.674,2.0
6,2019-12-30 19:54:29.291964,0.557,1.0
6,2019-12-30 19:59:37.723561,0.854,308.0
6,2019-12-30 19:59:43.878116,0.437,6.0
6,2019-12-30 20:06:27.434023,0.417,403.0
6,2019-12-30 20:06:30.441841,0.616,3.0
6,2019-12-30 20:06:35.154290,0.616,4.0
6,2019-12-30 20:06:37.137467,0.597,1.0
6,2019-12-30 20:06:39.601667,0.614,2.0
6,2019-12-30 20:06:42.140707,0.596,2.0
6,2019-12-30 20:06:44.923917,0.616,2.0
6,2019-12-30 20:06:52.002233,0.636,2.0
6,2019-12-30 20:06:52.151152,0.598,4.0
6,2019-12-30 20:06:55.344122,0.616,3.0
6,2019-12-30 20:06:57.613402,0.575,2.0
6,2019-12-30 20:07:00.401124,0.656,2.0
6,2019-12-30 20:07:02.853586,0.496,2.0
6,2019-12-30 20:07:04.904978,0.635,2.0
6,2019-12-30 20:07:06.855483,0.636,1.0
6,2019-12-30 20:07:08.868615,0.616,2.0
6,2019-12-30 20:07:10.940938,0.598,2.0
6,2019-12-30 20:09:22.035727,0.518,9.0
6,2019-12-30 20:09:24.307700,0.596,2.0
6,2019-12-30 20:09:28.487447,2.386,4.0
6,2019-12-30 20:09:31.363028,1.112,2.0
6,2019-12-30 20:09:33.836368,1.351,2.0
6,2019-12-30 20:09:36.248238,1.191,2.0
6,2019-12-30 20:09:38.329630,1.033,2.0
6,2019-12-30 20:09:40.324757,0.993,2.0
6,2019-12-30 20:09:42.920612,1.576,2.0
6,2019-12-30 20:09:47.004854,1.37,4.0
6,2019-12-30 20:09:53.080833,1.155,6.0
6,2019-12-30 20:14:38.152306,0.535,285.0
6,2019-12-30 20:14:43.821466,0.596,5.0
6,2019-12-30 20:14:45.988236,0.655,2.0
6,2019-12-30 20:14:48.603933,0.616,2.0
6,2019-12-30 20:14:51.593166,0.655,3.0
6,2019-12-30 20:14:53.702499,0.577,2.0
6,2019-12-30 20:14:56.324737,0.416,2.0
6,2019-12-30 20:14:58.342520,0.596,2.0
6,2019-12-30 20:15:00.712686,0.833,2.0
6,2019-12-30 20:15:03.007826,0.637,2.0
6,2019-12-30 20:15:56.753855,0.596,53.0
6,2019-12-30 20:15:58.505441,0.657,1.0
6,2019-12-30 20:16:00.358084,0.634,1.0
6,2019-12-30 20:16:02.174015,0.556,1.0
6,2019-12-30 20:16:04.410216,0.578,2.0
6,2019-12-30 20:16:06.570390,0.675,2.0
6,2019-12-30 20:16:08.844848,0.716,2.0
6,2019-12-30 20:16:11.228333,0.676,2.0
6,2019-12-30 20:16:13.333411,0.636,2.0
6,2019-12-30 20:16:15.224137,0.618,1.0
6,2019-12-30 20:16:17.532841,0.656,2.0
6,2019-12-30 20:16:26.400599,0.638,8.0
6,2019-12-30 20:16:28.776155,0.834,2.0
6,2019-12-30 20:16:31.041388,0.636,2.0
6,2019-12-30 20:16:33.238534,0.656,2.0
6,2019-12-30 20:16:35.558198,0.854,2.0
6,2019-12-30 20:16:38.149850,0.597,2.0
6,2019-12-30 20:16:41.521493,0.854,3.0
6,2019-12-30 20:16:45.415818,0.577,3.0
6,2019-12-30 20:18:09.540509,0.398,84.0
6,2019-12-30 20:18:12.815544,0.616,3.0
6,2019-12-30 20:18:14.724234,0.596,1.0
6,2019-12-30 20:18:17.029748,0.597,2.0
6,2019-12-30 20:18:19.243502,0.637,2.0
6,2019-12-30 20:18:21.172223,0.655,1.0
6,2019-12-30 20:18:22.941820,0.656,1.0
6,2019-12-30 20:18:24.851379,0.635,1.0
6,2019-12-30 20:18:26.768440,0.577,1.0
6,2019-12-30 20:18:29.259849,0.696,2.0
6,2019-12-30 20:19:30.507526,0.618,61.0
6,2019-12-30 20:19:32.996616,0.636,2.0
6,2019-12-30 20:19:35.093546,0.616,2.0
6,2019-12-30 20:19:37.023453,0.635,1.0
6,2019-12-30 20:19:39.301739,0.656,2.0
6,2019-12-30 20:19:41.461658,0.636,2.0
6,2019-12-30 20:19:43.672657,0.616,2.0
6,2019-12-30 20:19:45.686399,0.596,1.0
6,2019-12-30 20:19:49.104027,0.576,1.0
6,2019-12-30 20:19:53.634744,0.675,6.0
6,2019-12-30 20:20:00.731719,0.677,7.0
6,2019-12-30 20:20:44.058480,0.477,43.0
6,2019-12-30 20:20:46.729942,0.378,2.0
6,2019-12-30 20:20:48.823271,0.575,2.0
6,2019-12-30 20:20:50.762898,0.677,1.0
6,2019-12-30 20:20:52.574583,0.735,1.0
6,2019-12-30 20:20:54.610424,0.894,2.0
6,2019-12-30 20:20:56.626471,0.834,2.0
6,2019-12-30 20:21:00.157471,0.756,3.0
6,2019-12-30 20:21:02.254950,0.933,2.0
6,2019-12-30 20:21:04.473200,1.033,2.0
